id_User,assignment,userid,grade,attemptnumber,grupo,userna,tarea,duedate,completionsubmit,lastlogin,timecreated,status,latest,fechaEntrega,ultimoAcceso,semxmatricula,seniority_year
1607,2462,1607,100,0,205B,24050038,Actividad 10 205B,1743141540,1,1743138591,1724646036,submitted,1,28/03/2025,28/03/2025,2,0
1745,2462,1745,100,0,205B,24050039,Actividad 10 205B,1743141540,1,1742952527,1724947832,submitted,1,28/03/2025,26/03/2025,2,0
1756,2462,1756,100,0,205B,24050040,Actividad 10 205B,1743141540,1,1744321608,1725385495,submitted,1,28/03/2025,10/04/2025,2,0
1757,2462,1757,100,0,205B,24050041,Actividad 10 205B,1743141540,1,1743464543,1725385564,new,1,28/03/2025,31/03/2025,2,0
1789,2462,1789,100,0,205B,24050045,Actividad 10 205B,1743141540,1,1744165027,1726677288,submitted,1,28/03/2025,09/04/2025,2,0
558,2465,558,80,0,405-B TBD,21050036,Act 1 InvestigaciÃ³n 1,1743227400,1,1743809647,1692472096,new,1,29/03/2025,04/04/2025,8,3
558,2435,558,100,0,405-B TBD,21050036,Consultas sobre su propia BD,1742622600,1,1743809647,1692472096,new,1,22/03/2025,04/04/2025,8,3
558,850,558,100,0,405-B TBD,21050036,Actividad 4 Segunda parte de consultas,1742018220,1,1743809647,1692472096,submitted,1,15/03/2025,04/04/2025,8,3
558,849,558,50,0,405-B TBD,21050036,Actividad 3 InvestigaciÃ³n,1742017800,1,1743809647,1692472096,submitted,1,15/03/2025,04/04/2025,8,3
558,848,558,100,0,405-B TBD,21050036,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1743809647,1692472096,submitted,1,08/03/2025,04/04/2025,8,3
558,847,558,0,0,405-B TBD,21050036,Actividad 1,1740808200,1,1743809647,1692472096,new,1,01/03/2025,04/04/2025,8,3
562,2466,562,90,0,405-B TBD,21050044,Act 2 investigaciÃ³n 2,1743227400,1,1743829473,1692472096,submitted,1,29/03/2025,05/04/2025,8,3
562,2465,562,80,0,405-B TBD,21050044,Act 1 InvestigaciÃ³n 1,1743227400,1,1743829473,1692472096,submitted,1,29/03/2025,05/04/2025,8,3
562,2435,562,100,0,405-B TBD,21050044,Consultas sobre su propia BD,1742622600,1,1743829473,1692472096,submitted,1,22/03/2025,05/04/2025,8,3
562,850,562,100,0,405-B TBD,21050044,Actividad 4 Segunda parte de consultas,1742018220,1,1743829473,1692472096,submitted,1,15/03/2025,05/04/2025,8,3
562,849,562,50,0,405-B TBD,21050044,Actividad 3 InvestigaciÃ³n,1742017800,1,1743829473,1692472096,submitted,1,15/03/2025,05/04/2025,8,3
562,848,562,100,0,405-B TBD,21050044,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1743829473,1692472096,submitted,1,08/03/2025,05/04/2025,8,3
562,847,562,0,0,405-B TBD,21050044,Actividad 1,1740808200,1,1743829473,1692472096,new,1,01/03/2025,05/04/2025,8,3
796,2466,796,90,0,405-B TBD,22050057,Act 2 investigaciÃ³n 2,1743227400,1,1744159422,1692472098,submitted,1,29/03/2025,09/04/2025,6,2
796,2465,796,80,0,405-B TBD,22050057,Act 1 InvestigaciÃ³n 1,1743227400,1,1744159422,1692472098,submitted,1,29/03/2025,09/04/2025,6,2
796,2435,796,100,0,405-B TBD,22050057,Consultas sobre su propia BD,1742622600,1,1744159422,1692472098,submitted,1,22/03/2025,09/04/2025,6,2
796,850,796,100,0,405-B TBD,22050057,Actividad 4 Segunda parte de consultas,1742018220,1,1744159422,1692472098,new,1,15/03/2025,09/04/2025,6,2
796,849,796,50,0,405-B TBD,22050057,Actividad 3 InvestigaciÃ³n,1742017800,1,1744159422,1692472098,submitted,1,15/03/2025,09/04/2025,6,2
796,848,796,100,0,405-B TBD,22050057,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1744159422,1692472098,submitted,1,08/03/2025,09/04/2025,6,2
796,847,796,0,0,405-B TBD,22050057,Actividad 1,1740808200,1,1744159422,1692472098,submitted,1,01/03/2025,09/04/2025,6,2
1037,2466,1037,90,0,405-B TBD,23050012,Act 2 investigaciÃ³n 2,1743227400,1,1744332573,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
1037,2465,1037,80,0,405-B TBD,23050012,Act 1 InvestigaciÃ³n 1,1743227400,1,1744332573,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
1037,2435,1037,100,0,405-B TBD,23050012,Consultas sobre su propia BD,1742622600,1,1744332573,1692472099,submitted,1,22/03/2025,11/04/2025,4,1
1037,850,1037,100,0,405-B TBD,23050012,Actividad 4 Segunda parte de consultas,1742018220,1,1744332573,1692472099,submitted,1,15/03/2025,11/04/2025,4,1
1037,849,1037,50,0,405-B TBD,23050012,Actividad 3 InvestigaciÃ³n,1742017800,1,1744332573,1692472099,submitted,1,15/03/2025,11/04/2025,4,1
1037,848,1037,100,0,405-B TBD,23050012,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1744332573,1692472099,submitted,1,08/03/2025,11/04/2025,4,1
1037,847,1037,0,0,405-B TBD,23050012,Actividad 1,1740808200,1,1744332573,1692472099,submitted,1,01/03/2025,11/04/2025,4,1
1042,2466,1042,90,0,405-B TBD,23050017,Act 2 investigaciÃ³n 2,1743227400,1,1744331138,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
